,video_id,comment
0,R0ftmf_Uv9A,No matter how many times these information gets thrown to our eyes. The ignorant will remain put a blind eye to the oppressed which is sad.
1,R0ftmf_Uv9A,"*To learn who RULES over you, simply find out who you are NOT allowed to CRITICIZE.*"
2,R0ftmf_Uv9A,"Say that part again: Jewish , Christian’s and Muslims were living peacefully till some Europeans came and then you make people refugees and take their land  also if you were trying to come live in someone’s house for any reason at least bring a plan that shares equally or give the owner 70 and take 30"
3,R0ftmf_Uv9A,So sad. They were living in peace and now suffering for 7 decades 😢
4,R0ftmf_Uv9A,Why start at 1946?
5,R0ftmf_Uv9A,"Thank's Ireland, for being consistent n vocal to supporting our Palestinian brothers🙏🙏, we from Indonesia really appreciate this🙏🙏"
6,R0ftmf_Uv9A,"This is not a  conflict, this is occupation."
7,R0ftmf_Uv9A,"What’s interesting and perhaps often missed is that Jews and Arabs were living peacefully together for many years in the Middle East before the State of Israel was created. 

Jews in the Middle East did not suffer problems with discrimination, however Jews in Europe did. It was the European Jews who agitated for the creation of the State of Israel, in which both Arabs as well as non-European Jews are considered inferior to the European Jews. We keep saying Israel is a Jewish state. It would be more accurate to say that it’s a “European Jewish” state, in which all who are not of European Jewish descent are discriminated against, in one way or another."
8,R0ftmf_Uv9A,Let peace prevail.
9,R0ftmf_Uv9A,What happened the video was removed and put again!!
10,Bno1m1zhIWs,Who else is here trying to understand what’s going on right now
11,Bno1m1zhIWs,Insane how the HISTORY channel of all places actually educated people about actual History and in a notably unbiased fashion.
12,Bno1m1zhIWs,"Finally. An objective concise summary with no religious,political,or racial agenda. Well done History channel."
13,Bno1m1zhIWs,This is the first video which has actually explained things thoroughly! Best way to understand a problem is go back to the original roots of the situation. Thank you for the insight.
14,Bno1m1zhIWs,"Here watching this in 2023... It's sad how it's just like a broken record at this point. So many innocent people dying just because of where they were born.... all over land, random religious beliefs and man made borders. I wish we could all just get along and share this gift of a planet together."
15,Bno1m1zhIWs,Thank you for this excellent breakdown of the history. So many have never heard the total story. Your summation of the multigenerational conflict was well presented.
16,Bno1m1zhIWs,Great Britain has caused so many problems through out history
17,Bno1m1zhIWs,The best and most concise clip on explaining this conflict I have ever seen.  And in only six minutes.
18,Bno1m1zhIWs,"I read a complete history once, like 800+ pages worth. But it’s such a complex and polarising history that relatively small/ brief events have had long lasting impact.
So absolutely I’m here for the refresh, like almost everyone."
19,Bno1m1zhIWs,WOW Insane how the HISTORY channel of all places actually educated people about actual History and in a notably unbiased fashion. Nice!
20,0anQIEeLonA,"Cool finally someone telling both sides of the story , the true history and in unbiased way. Nice video worth sharing"
21,0anQIEeLonA,"As a Palestinian, I have always felt some bias from Indian media against us. But I have to be fair, you have done a good job summarizing the history of the conflict. Thanks"
22,0anQIEeLonA,"From someone who's a history buff, thank you for this unbiased reporting of history."
23,0anQIEeLonA,"I've done some basic research on this subject over the years, but so much of what was presented in this video is new to me...I applaud the creators for giving such a concise and focused account, sharing each side's POV, giving us a much clearer view on the past and present situation 👏🏾👍🏾"
24,0anQIEeLonA,An excellent presentation of how the Israel-Palestine conflict began. Very well written in a chronological order in simple English. Hope millions will watch this video. I expect more of this to come in the future. Good luck to you Priyanka.
25,0anQIEeLonA,Thank you for explaining the reasons for this war from both sides so clearly and factual. I appreciate the history lesson.
26,0anQIEeLonA,"The most concise , informative explanation of this crisis done in under 14 minutes. I’ll pass this on and hope others do too."
27,0anQIEeLonA,"Amazing synopsis, pertinent timelines, and balanced & unbiased presentation…all done in approx 14 minutes!😂❤ My decree:  This MUST be shared with the multiples!😂"
28,0anQIEeLonA,Thanx so much WION for this comprehensive unbiased summary of the history of Israel and surrounding states. It must have take you hours of research. We appreciate. Keep on doing the good work.
29,0anQIEeLonA,She gave a very objective history lesson. The media should learn from her.
30,iRYZjOuUnlU,"If you found this video helpful as an introduction, the next one we recommend is this one, about the 1948 events at the center of the conflict: https://youtu.be/rGVgjS98OsU 

To learn more about the October 7 attacks, read our explainer: https://bit.ly/45oC4Ls 

You can read all of Vox’s continuing coverage of the October 7 attacks and their aftermath here: https://bit.ly/45seXzs 

And if you’re looking for more context on the conflict, there’s much more to dive into here: https://bit.ly/3LVOaoe"
31,iRYZjOuUnlU,"UK : Prepare for trouble
US : And make it double"
32,iRYZjOuUnlU,"""Unless something dramatic changes, whatever comes next will be much worse.""

That sent chills down my spine."
33,iRYZjOuUnlU,Would I be wrong in saying that England kind of botched this entire thing and kind of gets let off the hook for creating a lot of this conflict?
34,iRYZjOuUnlU,*”Unless something drastic happens - whatever comes next will be much worst”* famous last words and oh boy were you right 🥺🥺
35,iRYZjOuUnlU,"""If you're not careful, the newspapers will have you hating the people who are being oppressed, and loving the people who are doing the oppressing"". 
- Malcolm X"
36,iRYZjOuUnlU,Thank you for this video. It really cleared things up because I was misinformed by one of my acquaintances regarding the history of Palestine-Israel. I'd like to be educated more about this conflict.
37,iRYZjOuUnlU,"Britain and France be like: ""Hobbies include drawing straight lines on maps"""
38,iRYZjOuUnlU,What a great video. A lot of people my age blindly support one side or the other without actually knowing anything about the history at all
39,iRYZjOuUnlU,"My father was born in Haifa, which was then British Palestine, in 1944.  When he was 4 years old, my grandparents took him to England on holiday only to be refused back due to the 1948 Arab-Israeli war.  So they had to settle and set up their life in the UK.  My grandparents were once part of the aristocracy and they ended up living on a council estate in Portsmouth.  It's strange to think that I am a product of war; I would not exist if that war had not broken out."
40,E4iygQ--7dk,"Another thing, when britain received he mandate over the region, it divided palestina into two part, the eastern part was given to the Hashemite family from Saudi arabia in exchange for their support in the first world war. This is how the state of jordan was created, which is actually part of palestina. Most of the Jordanians are palastinian."
